;title;genre;movieId;imdbId;year
1;Toy Story ;Animation|Children's|Comedy;1;114709;1995
2;Jumanji ;Adventure|Children's|Fantasy;2;113497;1995
3;Grumpier Old Men ;Comedy|Romance;3;113228;1995
4;Waiting to Exhale ;Comedy|Drama;4;114885;1995
5;Father of the Bride Part II ;Comedy;5;113041;1995
6;Heat ;Action|Crime|Thriller;6;113277;1995
7;Sabrina ;Comedy|Romance;7;114319;1995
8;Tom and Huck ;Adventure|Children's;8;112302;1995
9;Sudden Death ;Action;9;114576;1995
10;GoldenEye ;Action|Adventure|Thriller;10;113189;1995
11;American President, The ;Comedy|Drama|Romance;11;112346;1995
12;Dracula: Dead and Loving It ;Comedy|Horror;12;112896;1995
13;Balto ;Animation|Children's;13;112453;1995
14;Nixon ;Drama;14;113987;1995
15;Cutthroat Island ;Action|Adventure|Romance;15;112760;1995
16;Casino ;Drama|Thriller;16;112641;1995
17;Sense and Sensibility ;Drama|Romance;17;114388;1995
18;Four Rooms ;Thriller;18;113101;1995
19;Ace Ventura: When Nature Calls ;Comedy;19;112281;1995
20;Money Train ;Action;20;113845;1995
21;Get Shorty ;Action|Comedy|Drama;21;113161;1995
22;Copycat ;Crime|Drama|Thriller;22;112722;1995
23;Assassins ;Thriller;23;112401;1995
24;Powder ;Drama|Sci-Fi;24;114168;1995
25;Leaving Las Vegas ;Drama|Romance;25;113627;1995
26;Othello ;Drama;26;114057;1995
27;Now and Then ;Drama;27;114011;1995
28;Persuasion ;Romance;28;114117;1995
29;City of Lost Children, The ;Adventure|Sci-Fi;29;112682;1995
30;Shanghai Triad (Yao a yao yao dao waipo qiao) ;Drama;30;115012;1995
31;Dangerous Minds ;Drama;31;112792;1995
32;Twelve Monkeys ;Drama|Sci-Fi;32;114746;1995
33;Wings of Courage ;Adventure|Romance;33;114952;1995
34;Babe ;Children's|Comedy|Drama;34;112431;1995
35;Carrington ;Drama|Romance;35;112637;1995
36;Dead Man Walking ;Drama;36;112818;1995
37;Across the Sea of Time ;Documentary;37;112286;1995
38;It Takes Two ;Comedy;38;113442;1995
39;Clueless ;Comedy|Romance;39;112697;1995
40;Cry, the Beloved Country ;Drama;40;112749;1995
41;Richard III ;Drama|War;41;114279;1995
42;Dead Presidents ;Action|Crime|Drama;42;112819;1995
43;Restoration ;Drama;43;114272;1995
44;Mortal Kombat ;Action|Adventure;44;113855;1995
45;To Die For ;Comedy|Drama;45;114681;1995
46;How to Make an American Quilt ;Drama|Romance;46;113347;1995
47;Seven (Se7en) ;Crime|Thriller;47;114369;1995
48;Pocahontas ;Animation|Children's|Musical|Romance;48;114148;1995
49;When Night Is Falling ;Drama|Romance;49;114916;1995
50;Usual Suspects, The ;Crime|Thriller;50;114814;1995
51;Guardian Angel ;Action|Drama|Thriller;51;109950;1994
52;Mighty Aphrodite ;Comedy;52;113819;1995
53;Lamerica ;Drama;53;110299;1994
54;Big Green, The ;Children's|Comedy;54;112499;1995
55;Georgia ;Drama;55;113158;1995
56;Kids of the Round Table ;Adventure|Children's|Fantasy;56;113541;1995
57;Home for the Holidays ;Drama;57;113321;1995
58;Postino, Il (The Postman) ;Drama|Romance;58;110877;1994
59;Confessional, The (Le Confessionnal) ;Drama|Mystery;59;112714;1995
60;Indian in the Cupboard, The ;Adventure|Children's|Fantasy;60;113419;1995
61;Eye for an Eye ;Drama|Thriller;61;116260;1996
62;Mr. Holland's Opus ;Drama;62;113862;1995
63;Don't Be a Menace to South Central While Drinking Your Juice in the Hood ;Comedy;63;116126;1996
64;Two if by Sea ;Comedy|Romance;64;118002;1996
65;Bio-Dome ;Comedy;65;115683;1996
66;Lawnmower Man 2: Beyond Cyberspace ;Sci-Fi|Thriller;66;116839;1996
67;Two Bits ;Drama;67;114753;1995
68;French Twist (Gazon maudit) ;Comedy|Romance;68;113149;1995
69;Friday ;Comedy;69;113118;1995
70;From Dusk Till Dawn ;Action|Comedy|Crime|Horror|Thriller;70;116367;1996
71;Fair Game ;Action;71;113010;1995
72;Kicking and Screaming ;Comedy|Drama;72;113537;1995
73;Misérables, Les ;Drama|Musical;73;113828;1995
74;Bed of Roses ;Drama|Romance;74;115644;1996
